Model,Accuracy
Random Forest,0.6139119336311423
Gradient Boosting,0.6260370134014039
SVM,0.6234843650287173
Logistic Regression,0.6107211231652839
KNN,0.5226547543075941
Naive Bayes,0.559029993618379
Decision Tree,0.5692405871091257
FNN,0.6228462029355456
Transformer,0.6234843650287173
