Model,Accuracy
Random Forest,0.49911220444478877
Gradient Boosting,0.510688929350844
SVM,0.49927413835405937
Logistic Regression,0.5000765764020713
KNN,0.5087588940972896
Naive Bayes,0.504419865959013
FNN,0.5076372370510983
Transformer,0.509566497501259
