Model,Accuracy
Random Forest,0.6062653562653563
Gradient Boosting,0.5964373464373465
SVM,0.6007371007371007
Logistic Regression,0.6117936117936118
KNN,0.5386977886977887
Naive Bayes,0.5730958230958231
Decision Tree,0.5460687960687961
FNN,0.6044226044226044
Transformer,0.6203931203931204
